 set([12]) => set([16]) , (sup = 332162),(conf = 0.9781035224)
 set([16]) => set([12]) , (sup = 332162),(conf = 0.999250927316)
 set([12]) => set([17]) , (sup = 339566),(conf = 0.999905770941)
 set([17]) => set([12]) , (sup = 339566),(conf = 0.998288980091)
 set([12]) => set([18]) , (sup = 338918),(conf = 0.997997632495)
 set([18]) => set([12]) , (sup = 338918),(conf = 0.999486864922)
 set([21]) => set([12]) , (sup = 301936),(conf = 0.998323651068)
 set([12]) => set([21]) , (sup = 301936),(conf = 0.889098286798)
 set([12]) => set([27]) , (sup = 283577),(conf = 0.835037308818)
 set([27]) => set([12]) , (sup = 283577),(conf = 0.998394552746)
 set([29]) => set([12]) , (sup = 298677),(conf = 0.998292043799)
 set([12]) => set([29]) , (sup = 298677),(conf = 0.879501646064)
 set([31]) => set([12]) , (sup = 317533),(conf = 0.998493767531)
 set([12]) => set([31]) , (sup = 317533),(conf = 0.935026119117)
 set([12]) => set([43]) , (sup = 290896),(conf = 0.856589261421)
 set([43]) => set([12]) , (sup = 290896),(conf = 0.99828754783)
 set([17]) => set([16]) , (sup = 332379),(conf = 0.977159942143)
 set([16]) => set([17]) , (sup = 332379),(conf = 0.999903733631)
 set([18]) => set([16]) , (sup = 331645),(conf = 0.978038408456)
 set([16]) => set([18]) , (sup = 331645),(conf = 0.997695623791)
 set([21]) => set([16]) , (sup = 295348),(conf = 0.976541034178)
 set([16]) => set([21]) , (sup = 295348),(conf = 0.88850248638)
 set([29]) => set([16]) , (sup = 291955),(conf = 0.975824565156)
 set([16]) => set([29]) , (sup = 291955),(conf = 0.878295242937)
 set([31]) => set([16]) , (sup = 312201),(conf = 0.981727104638)
 set([16]) => set([31]) , (sup = 312201),(conf = 0.939201771301)
 set([43]) => set([16]) , (sup = 285217),(conf = 0.978798538067)
 set([16]) => set([43]) , (sup = 285217),(conf = 0.858025155606)
 set([18]) => set([17]) , (sup = 339060),(conf = 0.99990563033)
 set([17]) => set([18]) , (sup = 339060),(conf = 0.996801392335)
 set([21]) => set([17]) , (sup = 302412),(conf = 0.999897501347)
 set([17]) => set([21]) , (sup = 302412),(conf = 0.889060056211)
 set([27]) => set([17]) , (sup = 284005),(conf = 0.999901419905)
 set([17]) => set([27]) , (sup = 284005),(conf = 0.834945376718)
 set([29]) => set([17]) , (sup = 299156),(conf = 0.999893043839)
 set([17]) => set([29]) , (sup = 299156),(conf = 0.87948775239)
 set([31]) => set([17]) , (sup = 317985),(conf = 0.999915097543)
 set([17]) => set([31]) , (sup = 317985),(conf = 0.934843068311)
 set([43]) => set([17]) , (sup = 291363),(conf = 0.999890183428)
 set([17]) => set([43]) , (sup = 291363),(conf = 0.856577137011)
 set([21]) => set([18]) , (sup = 301475),(conf = 0.996799396911)
 set([18]) => set([21]) , (sup = 301475),(conf = 0.889065504347)
 set([27]) => set([18]) , (sup = 283183),(conf = 0.997007389986)
 set([18]) => set([27]) , (sup = 283183),(conf = 0.835121441969)
 set([29]) => set([18]) , (sup = 298194),(conf = 0.996677674238)
 set([18]) => set([29]) , (sup = 298194),(conf = 0.879389664162)
 set([31]) => set([18]) , (sup = 317100),(conf = 0.997132183691)
 set([18]) => set([31]) , (sup = 317100),(conf = 0.935144444576)
 set([43]) => set([18]) , (sup = 290490),(conf = 0.996894250073)
 set([18]) => set([43]) , (sup = 290490),(conf = 0.856670166209)
 set([31]) => set([21]) , (sup = 284151),(conf = 0.893522885929)
 set([21]) => set([31]) , (sup = 284151),(conf = 0.939519182127)
 set([31]) => set([29]) , (sup = 279678),(conf = 0.879457378967)
 set([29]) => set([31]) , (sup = 279678),(conf = 0.934790165381)
 set([17, 31]) => set([16, 12]) , (sup = 311980),(conf = 0.981115461421)
 set([17, 12]) => set([16, 31]) , (sup = 311980),(conf = 0.918761006697)
 set([16, 31]) => set([17, 12]) , (sup = 311980),(conf = 0.999292122703)
 set([16, 12]) => set([17, 31]) , (sup = 311980),(conf = 0.939240491086)
 set([16, 17]) => set([12, 31]) , (sup = 311980),(conf = 0.938627289931)
 set([17, 12, 31]) => set([16]) , (sup = 311980),(conf = 0.982592509771)
 set([16, 12, 31]) => set([17]) , (sup = 311980),(conf = 0.999916668269)
 set([16, 17, 31]) => set([12]) , (sup = 311980),(conf = 0.999375350364)
 set([16, 17, 12]) => set([31]) , (sup = 311980),(conf = 0.939330984855)
 set([12]) => set([16, 17, 43]) , (sup = 284971),(conf = 0.839142162204)
 set([43]) => set([16, 17, 12]) , (sup = 284971),(conf = 0.97795432317)
 set([17]) => set([16, 43, 12]) , (sup = 284971),(conf = 0.83778531698)
 set([16]) => set([17, 43, 12]) , (sup = 284971),(conf = 0.857285107894)
 set([43, 12]) => set([16, 17]) , (sup = 284971),(conf = 0.979631895935)
 set([17, 12]) => set([16, 43]) , (sup = 284971),(conf = 0.839221241231)
 set([17, 43]) => set([16, 12]) , (sup = 284971),(conf = 0.978061730556)
 set([16, 12]) => set([17, 43]) , (sup = 284971),(conf = 0.857927758142)
 set([16, 43]) => set([17, 12]) , (sup = 284971),(conf = 0.999137498817)
 set([16, 17]) => set([43, 12]) , (sup = 284971),(conf = 0.857367643564)
 set([17, 43, 12]) => set([16]) , (sup = 284971),(conf = 0.979732935441)
 set([16, 43, 12]) => set([17]) , (sup = 284971),(conf = 0.999894737211)
 set([16, 17, 12]) => set([43]) , (sup = 284971),(conf = 0.858010417608)
 set([16, 17, 43]) => set([12]) , (sup = 284971),(conf = 0.999242602222)
 set([21]) => set([16, 18, 12]) , (sup = 294514),(conf = 0.973783489782)
 set([12]) => set([16, 18, 21]) , (sup = 294514),(conf = 0.867243034411)
 set([18]) => set([16, 12, 21]) , (sup = 294514),(conf = 0.868537152159)
 set([16]) => set([18, 12, 21]) , (sup = 294514),(conf = 0.885993544137)
 set([12, 21]) => set([16, 18]) , (sup = 294514),(conf = 0.975418631763)
 set([18, 21]) => set([16, 12]) , (sup = 294514),(conf = 0.976910191558)
 set([18, 12]) => set([16, 21]) , (sup = 294514),(conf = 0.868983057849)
 set([16, 21]) => set([18, 12]) , (sup = 294514),(conf = 0.997176212468)
 set([16, 12]) => set([18, 21]) , (sup = 294514),(conf = 0.886657715211)
 set([16, 18]) => set([12, 21]) , (sup = 294514),(conf = 0.888039922206)
 set([18, 12, 21]) => set([16]) , (sup = 294514),(conf = 0.977432180383)
 set([16, 12, 21]) => set([18]) , (sup = 294514),(conf = 0.997909402943)
 set([16, 18, 21]) => set([12]) , (sup = 294514),(conf = 0.999504513677)
 set([16, 18, 12]) => set([21]) , (sup = 294514),(conf = 0.888463197652)
 set([29]) => set([16, 18, 12]) , (sup = 291101),(conf = 0.972970172601)
 set([12]) => set([16, 18, 29]) , (sup = 291101),(conf = 0.85719291633)
 set([18]) => set([16, 12, 29]) , (sup = 291101),(conf = 0.858472037087)
 set([16]) => set([18, 12, 29]) , (sup = 291101),(conf = 0.875726134213)
 set([12, 29]) => set([16, 18]) , (sup = 291101),(conf = 0.974634806162)
 set([18, 29]) => set([16, 12]) , (sup = 291101),(conf = 0.976213471767)
 set([18, 12]) => set([16, 29]) , (sup = 291101),(conf = 0.858912775362)
 set([16, 29]) => set([18, 12]) , (sup = 291101),(conf = 0.997074891679)
 set([16, 12]) => set([18, 29]) , (sup = 291101),(conf = 0.876382608486)
 set([16, 18]) => set([12, 29]) , (sup = 291101),(conf = 0.87774879766)
 set([18, 12, 29]) => set([16]) , (sup = 291101),(conf = 0.976724444534)
 set([16, 12, 29]) => set([18]) , (sup = 291101),(conf = 0.997826794865)
 set([16, 18, 29]) => set([12]) , (sup = 291101),(conf = 0.99951586653)
 set([16, 18, 12]) => set([29]) , (sup = 291101),(conf = 0.878167167943)
 set([31]) => set([16, 18, 12]) , (sup = 311434),(conf = 0.979315245966)
 set([12]) => set([16, 18, 31]) , (sup = 311434),(conf = 0.917066649391)
 set([18]) => set([16, 12, 31]) , (sup = 311434),(conf = 0.918435114954)
 set([16]) => set([18, 12, 31]) , (sup = 311434),(conf = 0.936894386768)
 set([12, 31]) => set([16, 18]) , (sup = 311434),(conf = 0.980792547546)
 set([18, 31]) => set([16, 12]) , (sup = 311434),(conf = 0.982131819615)
 set([18, 12]) => set([16, 31]) , (sup = 311434),(conf = 0.918906638184)
 set([16, 31]) => set([18, 12]) , (sup = 311434),(conf = 0.997543249381)
 set([16, 12]) => set([18, 31]) , (sup = 311434),(conf = 0.937596714856)
 set([16, 18]) => set([12, 31]) , (sup = 311434),(conf = 0.939058330444)
 set([18, 12, 31]) => set([16]) , (sup = 311434),(conf = 0.982574923412)
 set([16, 12, 31]) => set([18]) , (sup = 311434),(conf = 0.998166701922)
 set([16, 18, 31]) => set([12]) , (sup = 311434),(conf = 0.999576333746)
 set([16, 18, 12]) => set([31]) , (sup = 311434),(conf = 0.939505923309)
 set([12]) => set([16, 18, 43]) , (sup = 284446),(conf = 0.837596216703)
 set([43]) => set([16, 18, 12]) , (sup = 284446),(conf = 0.976152645035)
 set([18]) => set([16, 43, 12]) , (sup = 284446),(conf = 0.838846094865)
 set([16]) => set([18, 43, 12]) , (sup = 284446),(conf = 0.855705737776)
 set([43, 12]) => set([16, 18]) , (sup = 284446),(conf = 0.977827127221)
 set([18, 12]) => set([16, 43]) , (sup = 284446),(conf = 0.83927675721)
 set([18, 43]) => set([16, 12]) , (sup = 284446),(conf = 0.979193776034)
 set([16, 12]) => set([18, 43]) , (sup = 284446),(conf = 0.856347204075)
 set([16, 43]) => set([18, 12]) , (sup = 284446),(conf = 0.997296795072)
 set([16, 18]) => set([43, 12]) , (sup = 284446),(conf = 0.857682160141)
 set([18, 43, 12]) => set([16]) , (sup = 284446),(conf = 0.979706411148)
 set([16, 43, 12]) => set([18]) , (sup = 284446),(conf = 0.998052638412)
 set([16, 18, 12]) => set([43]) , (sup = 284446),(conf = 0.85809096586)
 set([16, 18, 43]) => set([12]) , (sup = 284446),(conf = 0.999508057318)
 set([31]) => set([16, 12, 21]) , (sup = 278600),(conf = 0.876067569777)
 set([21]) => set([16, 12, 31]) , (sup = 278600),(conf = 0.921165310488)
 set([12]) => set([16, 21, 31]) , (sup = 278600),(conf = 0.820381745476)
 set([16]) => set([12, 21, 31]) , (sup = 278600),(conf = 0.838119075482)
 set([21, 31]) => set([16, 12]) , (sup = 278600),(conf = 0.980464612125)
 set([12, 31]) => set([16, 21]) , (sup = 278600),(conf = 0.877389121761)
 set([12, 21]) => set([16, 31]) , (sup = 278600),(conf = 0.922712097928)
 set([16, 31]) => set([12, 21]) , (sup = 278600),(conf = 0.892373823274)
 set([16, 21]) => set([12, 31]) , (sup = 278600),(conf = 0.943294012487)
 set([16, 12]) => set([21, 31]) , (sup = 278600),(conf = 0.838747358217)
 set([12, 21, 31]) => set([16]) , (sup = 278600),(conf = 0.981933273651)
 set([16, 21, 31]) => set([12]) , (sup = 278600),(conf = 0.999368668752)
 set([16, 12, 31]) => set([21]) , (sup = 278600),(conf = 0.892931546188)
 set([16, 12, 21]) => set([31]) , (sup = 278600),(conf = 0.943987585174)
 set([21]) => set([17, 18, 12]) , (sup = 301283),(conf = 0.996164566546)
 set([12]) => set([17, 18, 21]) , (sup = 301283),(conf = 0.887175425061)
 set([18]) => set([17, 12, 21]) , (sup = 301283),(conf = 0.888499286329)
 set([17]) => set([18, 12, 21]) , (sup = 301283),(conf = 0.885740912779)
 set([12, 21]) => set([17, 18]) , (sup = 301283),(conf = 0.997837290022)
 set([18, 21]) => set([17, 12]) , (sup = 301283),(conf = 0.999363131271)
 set([18, 12]) => set([17, 21]) , (sup = 301283),(conf = 0.888955440549)
 set([17, 21]) => set([18, 12]) , (sup = 301283),(conf = 0.996266682539)
 set([17, 12]) => set([18, 21]) , (sup = 301283),(conf = 0.887259030645)
 set([17, 18]) => set([12, 21]) , (sup = 301283),(conf = 0.888583141627)
 set([18, 12, 21]) => set([17]) , (sup = 301283),(conf = 0.999897117293)
 set([17, 12, 21]) => set([18]) , (sup = 301283),(conf = 0.997939749259)
 set([17, 18, 21]) => set([12]) , (sup = 301283),(conf = 0.999465904115)
 set([17, 18, 12]) => set([21]) , (sup = 301283),(conf = 0.889039381975)
 set([12]) => set([17, 18, 27]) , (sup = 283026),(conf = 0.833414802207)
 set([27]) => set([17, 18, 12]) , (sup = 283026),(conf = 0.996454637313)
 set([18]) => set([17, 27, 12]) , (sup = 283026),(conf = 0.834658440777)
 set([17]) => set([18, 27, 12]) , (sup = 283026),(conf = 0.832067217799)
 set([27, 12]) => set([17, 18]) , (sup = 283026),(conf = 0.998056965128)
 set([18, 12]) => set([17, 27]) , (sup = 283026),(conf = 0.835086953186)
 set([18, 27]) => set([17, 12]) , (sup = 283026),(conf = 0.999445588189)
 set([17, 12]) => set([18, 27]) , (sup = 283026),(conf = 0.833493341501)
 set([17, 27]) => set([18, 12]) , (sup = 283026),(conf = 0.99655287759)
 set([17, 18]) => set([27, 12]) , (sup = 283026),(conf = 0.834737214652)
 set([18, 27, 12]) => set([17]) , (sup = 283026),(conf = 0.999901078946)
 set([17, 27, 12]) => set([18]) , (sup = 283026),(conf = 0.998155521621)
 set([17, 18, 12]) => set([27]) , (sup = 283026),(conf = 0.835165807971)
 set([17, 18, 27]) => set([12]) , (sup = 283026),(conf = 0.999544419134)
 set([29]) => set([17, 18, 12]) , (sup = 298006),(conf = 0.99604930679)
 set([12]) => set([17, 18, 29]) , (sup = 298006),(conf = 0.877525780482)
 set([18]) => set([17, 12, 29]) , (sup = 298006),(conf = 0.878835242353)
 set([17]) => set([18, 12, 29]) , (sup = 298006),(conf = 0.876106871127)
 set([12, 29]) => set([17, 18]) , (sup = 298006),(conf = 0.997753425942)
 set([18, 29]) => set([17, 12]) , (sup = 298006),(conf = 0.999369537952)
 set([18, 12]) => set([17, 29]) , (sup = 298006),(conf = 0.879286435067)
 set([17, 29]) => set([18, 12]) , (sup = 298006),(conf = 0.996155851796)
 set([17, 12]) => set([18, 29]) , (sup = 298006),(conf = 0.877608476703)
 set([17, 18]) => set([12, 29]) , (sup = 298006),(conf = 0.878918185572)
 set([18, 12, 29]) => set([17]) , (sup = 298006),(conf = 0.999892631141)
 set([17, 12, 29]) => set([18]) , (sup = 298006),(conf = 0.99786033585)
 set([17, 18, 29]) => set([12]) , (sup = 298006),(conf = 0.999476794494)
 set([17, 18, 12]) => set([29]) , (sup = 298006),(conf = 0.879369463477)
 set([31]) => set([17, 18, 12]) , (sup = 316931),(conf = 0.996600757204)
 set([12]) => set([17, 18, 31]) , (sup = 316931),(conf = 0.933253434944)
 set([18]) => set([17, 12, 31]) , (sup = 316931),(conf = 0.934646054758)
 set([17]) => set([18, 12, 31]) , (sup = 316931),(conf = 0.931744417136)
 set([12, 31]) => set([17, 18]) , (sup = 316931),(conf = 0.998104134059)
 set([18, 31]) => set([17, 12]) , (sup = 316931),(conf = 0.999467045096)
 set([18, 12]) => set([17, 31]) , (sup = 316931),(conf = 0.93512590066)
 set([17, 31]) => set([18, 12]) , (sup = 316931),(conf = 0.996685378241)
 set([17, 12]) => set([18, 31]) , (sup = 316931),(conf = 0.933341382824)
 set([17, 18]) => set([12, 31]) , (sup = 316931),(conf = 0.934734265322)
 set([18, 12, 31]) => set([17]) , (sup = 316931),(conf = 0.999917969945)
 set([17, 12, 31]) => set([18]) , (sup = 316931),(conf = 0.998185866768)
 set([17, 18, 31]) => set([12]) , (sup = 316931),(conf = 0.99954900118)
 set([17, 18, 12]) => set([31]) , (sup = 316931),(conf = 0.935214201826)
 set([12]) => set([17, 18, 43]) , (sup = 290308),(conf = 0.854857802461)
 set([43]) => set([17, 18, 12]) , (sup = 290308),(conf = 0.99626966832)
 set([18]) => set([17, 43, 12]) , (sup = 290308),(conf = 0.856133438713)
 set([17]) => set([18, 43, 12]) , (sup = 290308),(conf = 0.853475545939)
 set([43, 12]) => set([17, 18]) , (sup = 290308),(conf = 0.99797865904)
 set([18, 12]) => set([17, 43]) , (sup = 290308),(conf = 0.856572976354)
 set([18, 43]) => set([17, 12]) , (sup = 290308),(conf = 0.999373472409)
 set([17, 12]) => set([18, 43]) , (sup = 290308),(conf = 0.854938362498)
 set([17, 43]) => set([18, 12]) , (sup = 290308),(conf = 0.996379087255)
 set([17, 18]) => set([43, 12]) , (sup = 290308),(conf = 0.856214239368)
 set([18, 43, 12]) => set([17]) , (sup = 290308),(conf = 0.999896672155)
 set([17, 43, 12]) => set([18]) , (sup = 290308),(conf = 0.998081590836)
 set([17, 18, 12]) => set([43]) , (sup = 290308),(conf = 0.85665386)
 set([17, 18, 43]) => set([12]) , (sup = 290308),(conf = 0.999476692143)
 set([31]) => set([17, 12, 21]) , (sup = 283701),(conf = 0.892107844987)
 set([21]) => set([17, 12, 31]) , (sup = 283701),(conf = 0.93803129846)
 set([12]) => set([17, 21, 31]) , (sup = 283701),(conf = 0.835402446422)
 set([17]) => set([12, 21, 31]) , (sup = 283701),(conf = 0.834051648106)
 set([21, 31]) => set([17, 12]) , (sup = 283701),(conf = 0.998416334977)
 set([12, 31]) => set([17, 21]) , (sup = 283701),(conf = 0.8934535938)
 set([12, 21]) => set([17, 31]) , (sup = 283701),(conf = 0.939606406656)
 set([17, 31]) => set([12, 21]) , (sup = 283701),(conf = 0.892183593566)
 set([17, 21]) => set([12, 31]) , (sup = 283701),(conf = 0.93812745526)
 set([17, 12]) => set([21, 31]) , (sup = 283701),(conf = 0.835481173027)
 set([12, 21, 31]) => set([17]) , (sup = 283701),(conf = 0.99991188682)
 set([17, 21, 31]) => set([12]) , (sup = 283701),(conf = 0.998504184763)
 set([17, 12, 31]) => set([21]) , (sup = 283701),(conf = 0.89352675689)
 set([17, 12, 21]) => set([31]) , (sup = 283701),(conf = 0.93970288667)
 set([31]) => set([17, 12, 29]) , (sup = 279234),(conf = 0.878061205238)
 set([29]) => set([17, 12, 31]) , (sup = 279234),(conf = 0.933306148642)
 set([12]) => set([17, 29, 31]) , (sup = 279234),(conf = 0.822248658708)
 set([17]) => set([12, 29, 31]) , (sup = 279234),(conf = 0.82091912932)
 set([29, 31]) => set([17, 12]) , (sup = 279234),(conf = 0.998412460043)
 set([12, 31]) => set([17, 29]) , (sup = 279234),(conf = 0.879385764629)
 set([12, 29]) => set([17, 31]) , (sup = 279234),(conf = 0.934902921886)
 set([17, 31]) => set([12, 29]) , (sup = 279234),(conf = 0.878135761121)
 set([17, 29]) => set([12, 31]) , (sup = 279234),(conf = 0.933405982163)
 set([17, 12]) => set([29, 31]) , (sup = 279234),(conf = 0.822326145727)
 set([12, 29, 31]) => set([17]) , (sup = 279234),(conf = 0.999906896799)
 set([17, 29, 31]) => set([12]) , (sup = 279234),(conf = 0.99850528514)
 set([17, 12, 31]) => set([29]) , (sup = 279234),(conf = 0.879457775734)
 set([17, 12, 29]) => set([31]) , (sup = 279234),(conf = 0.935003097323)
 set([31]) => set([18, 12, 21]) , (sup = 283199),(conf = 0.890529288203)
 set([21]) => set([18, 12, 31]) , (sup = 283199),(conf = 0.936371481568)
 set([12]) => set([18, 21, 31]) , (sup = 283199),(conf = 0.833924228058)
 set([18]) => set([12, 21, 31]) , (sup = 283199),(conf = 0.835168626803)
 set([21, 31]) => set([18, 12]) , (sup = 283199),(conf = 0.996649668662)
 set([12, 31]) => set([18, 21]) , (sup = 283199),(conf = 0.891872655755)
 set([12, 21]) => set([18, 31]) , (sup = 283199),(conf = 0.93794380266)
 set([18, 31]) => set([12, 21]) , (sup = 283199),(conf = 0.893090507726)
 set([18, 21]) => set([12, 31]) , (sup = 283199),(conf = 0.939378057882)
 set([18, 12]) => set([21, 31]) , (sup = 283199),(conf = 0.835597401141)
 set([12, 21, 31]) => set([18]) , (sup = 283199),(conf = 0.998142574174)
 set([18, 21, 31]) => set([12]) , (sup = 283199),(conf = 0.99953411381)
 set([18, 12, 31]) => set([21]) , (sup = 283199),(conf = 0.893493439173)
 set([18, 12, 21]) => set([31]) , (sup = 283199),(conf = 0.9398799923)
 set([31]) => set([18, 12, 29]) , (sup = 278717),(conf = 0.876435480422)
 set([29]) => set([18, 12, 31]) , (sup = 278717),(conf = 0.931578138161)
 set([12]) => set([18, 29, 31]) , (sup = 278717),(conf = 0.820726270473)
 set([18]) => set([12, 29, 31]) , (sup = 278717),(conf = 0.821950974957)
 set([29, 31]) => set([18, 12]) , (sup = 278717),(conf = 0.996563905634)
 set([12, 31]) => set([18, 29]) , (sup = 278717),(conf = 0.8777575874)
 set([12, 29]) => set([18, 31]) , (sup = 278717),(conf = 0.933171954988)
 set([18, 31]) => set([12, 29]) , (sup = 278717),(conf = 0.878956165248)
 set([18, 29]) => set([12, 31]) , (sup = 278717),(conf = 0.934683461103)
 set([18, 12]) => set([29, 31]) , (sup = 278717),(conf = 0.822372963372)
 set([12, 29, 31]) => set([18]) , (sup = 278717),(conf = 0.998055575449)
 set([18, 29, 31]) => set([12]) , (sup = 278717),(conf = 0.999540963618)
 set([18, 12, 31]) => set([29]) , (sup = 278717),(conf = 0.87935271977)
 set([18, 12, 29]) => set([31]) , (sup = 278717),(conf = 0.935172696099)
 set([21]) => set([16, 17, 18]) , (sup = 294629),(conf = 0.974163726719)
 set([18]) => set([16, 17, 21]) , (sup = 294629),(conf = 0.868876293159)
 set([17]) => set([16, 18, 21]) , (sup = 294629),(conf = 0.866178839799)
 set([16]) => set([17, 18, 21]) , (sup = 294629),(conf = 0.8863395014)
 set([18, 21]) => set([16, 17]) , (sup = 294629),(conf = 0.97729164939)
 set([17, 21]) => set([16, 18]) , (sup = 294629),(conf = 0.974263587424)
 set([17, 18]) => set([16, 21]) , (sup = 294629),(conf = 0.868958296467)
 set([16, 21]) => set([17, 18]) , (sup = 294629),(conf = 0.99756558365)
 set([16, 18]) => set([17, 21]) , (sup = 294629),(conf = 0.888386678527)
 set([16, 17]) => set([18, 21]) , (sup = 294629),(conf = 0.886424834301)
 set([17, 18, 21]) => set([16]) , (sup = 294629),(conf = 0.97739215244)
 set([16, 18, 21]) => set([17]) , (sup = 294629),(conf = 0.999894794)
 set([16, 17, 21]) => set([18]) , (sup = 294629),(conf = 0.99767030005)
 set([16, 17, 18]) => set([21]) , (sup = 294629),(conf = 0.888472406088)
 set([29]) => set([16, 17, 18]) , (sup = 291210),(conf = 0.973334492025)
 set([18]) => set([16, 17, 29]) , (sup = 291210),(conf = 0.858793483774)
 set([17]) => set([16, 18, 29]) , (sup = 291210),(conf = 0.856127332808)
 set([16]) => set([17, 18, 29]) , (sup = 291210),(conf = 0.876054041533)
 set([18, 29]) => set([16, 17]) , (sup = 291210),(conf = 0.976579005614)
 set([17, 29]) => set([16, 18]) , (sup = 291210),(conf = 0.973438607282)
 set([17, 18]) => set([16, 29]) , (sup = 291210),(conf = 0.85887453548)
 set([16, 29]) => set([17, 18]) , (sup = 291210),(conf = 0.997448236886)
 set([16, 18]) => set([17, 29]) , (sup = 291210),(conf = 0.878077462347)
 set([16, 17]) => set([18, 29]) , (sup = 291210),(conf = 0.876138384194)
 set([17, 18, 29]) => set([16]) , (sup = 291210),(conf = 0.97668381618)
 set([16, 18, 29]) => set([17]) , (sup = 291210),(conf = 0.999890125737)
 set([16, 17, 29]) => set([18]) , (sup = 291210),(conf = 0.997557575114)
 set([16, 17, 18]) => set([29]) , (sup = 291210),(conf = 0.878162195089)
 set([31]) => set([16, 17, 18]) , (sup = 311540),(conf = 0.979648566721)
 set([18]) => set([16, 17, 31]) , (sup = 311540),(conf = 0.918747714485)
 set([17]) => set([16, 18, 31]) , (sup = 311540),(conf = 0.915895433752)
 set([16]) => set([17, 18, 31]) , (sup = 311540),(conf = 0.937213269116)
 set([18, 31]) => set([16, 17]) , (sup = 311540),(conf = 0.982466099022)
 set([17, 31]) => set([16, 18]) , (sup = 311540),(conf = 0.979731748353)
 set([17, 18]) => set([16, 31]) , (sup = 311540),(conf = 0.918834424586)
 set([16, 31]) => set([17, 18]) , (sup = 311540),(conf = 0.997882774238)
 set([16, 18]) => set([17, 31]) , (sup = 311540),(conf = 0.939377949313)
 set([16, 17]) => set([18, 31]) , (sup = 311540),(conf = 0.93730349992)
 set([17, 18, 31]) => set([16]) , (sup = 311540),(conf = 0.982546661032)
 set([16, 18, 31]) => set([17]) , (sup = 311540),(conf = 0.999916550586)
 set([16, 17, 31]) => set([18]) , (sup = 311540),(conf = 0.99796588452)
 set([16, 17, 18]) => set([31]) , (sup = 311540),(conf = 0.939468597431)
 set([43]) => set([16, 17, 18]) , (sup = 284556),(conf = 0.976530139501)
 set([18]) => set([16, 17, 43]) , (sup = 284556),(conf = 0.839170490604)
 set([17]) => set([16, 18, 43]) , (sup = 284556),(conf = 0.836565259828)
 set([16]) => set([17, 18, 43]) , (sup = 284556),(conf = 0.85603665342)
 set([18, 43]) => set([16, 17]) , (sup = 284556),(conf = 0.979572446556)
 set([17, 43]) => set([16, 18]) , (sup = 284556),(conf = 0.976637390472)
 set([17, 18]) => set([16, 43]) , (sup = 284556),(conf = 0.83924969032)
 set([16, 43]) => set([17, 18]) , (sup = 284556),(conf = 0.997682466333)
 set([16, 18]) => set([17, 43]) , (sup = 284556),(conf = 0.8580138401)
 set([16, 17]) => set([18, 43]) , (sup = 284556),(conf = 0.856119068894)
 set([17, 18, 43]) => set([16]) , (sup = 284556),(conf = 0.979673621153)
 set([16, 18, 43]) => set([17]) , (sup = 284556),(conf = 0.999894583711)
 set([16, 17, 43]) => set([18]) , (sup = 284556),(conf = 0.997787416677)
 set([16, 17, 18]) => set([43]) , (sup = 284556),(conf = 0.858096636742)
 set([31]) => set([16, 17, 21]) , (sup = 278751),(conf = 0.876542394627)
 set([21]) => set([16, 17, 31]) , (sup = 278751),(conf = 0.921664578119)
 set([17]) => set([16, 21, 31]) , (sup = 278751),(conf = 0.81949915919)
 set([16]) => set([17, 21, 31]) , (sup = 278751),(conf = 0.838573332411)
 set([21, 31]) => set([16, 17]) , (sup = 278751),(conf = 0.980996019722)
 set([17, 31]) => set([16, 21]) , (sup = 278751),(conf = 0.876616821548)
 set([17, 21]) => set([16, 31]) , (sup = 278751),(conf = 0.92175905718)
 set([16, 31]) => set([17, 21]) , (sup = 278751),(conf = 0.892857486043)
 set([16, 21]) => set([17, 31]) , (sup = 278751),(conf = 0.943805273779)
 set([16, 17]) => set([21, 31]) , (sup = 278751),(conf = 0.838654066593)
 set([17, 21, 31]) => set([16]) , (sup = 278751),(conf = 0.98108233671)
 set([16, 21, 31]) => set([17]) , (sup = 278751),(conf = 0.999910322266)
 set([16, 17, 31]) => set([21]) , (sup = 278751),(conf = 0.892931849123)
 set([16, 17, 21]) => set([31]) , (sup = 278751),(conf = 0.943904346854)
 set([31]) => set([16, 18, 21]) , (sup = 278198),(conf = 0.874803466536)
 set([21]) => set([16, 18, 31]) , (sup = 278198),(conf = 0.919836134412)
 set([18]) => set([16, 21, 31]) , (sup = 278198),(conf = 0.820420416878)
 set([16]) => set([18, 21, 31]) , (sup = 278198),(conf = 0.836909729221)
 set([21, 31]) => set([16, 18]) , (sup = 278198),(conf = 0.979049871371)
 set([18, 31]) => set([16, 21]) , (sup = 278198),(conf = 0.877319457584)
 set([18, 21]) => set([16, 31]) , (sup = 278198),(conf = 0.922789617713)
 set([16, 31]) => set([18, 21]) , (sup = 278198),(conf = 0.891086191268)
 set([16, 21]) => set([18, 31]) , (sup = 278198),(conf = 0.941932906267)
 set([16, 18]) => set([21, 31]) , (sup = 278198),(conf = 0.83884273847)
 set([18, 21, 31]) => set([16]) , (sup = 278198),(conf = 0.981883380216)
 set([16, 21, 31]) => set([18]) , (sup = 278198),(conf = 0.997926650788)
 set([16, 18, 31]) => set([21]) , (sup = 278198),(conf = 0.892902306413)
 set([16, 18, 21]) => set([31]) , (sup = 278198),(conf = 0.944132220186)
 set([31]) => set([17, 18, 21]) , (sup = 283306),(conf = 0.890865753494)
